corridor_id,model_type,n_predictions,n_disruption_episodes,roc_auc,pr_auc,f1_score,precision,recall,brier_score,calibration_error,detection_rate,false_alarm_rate,avg_lead_time_days,median_lead_time_days
HORMUZ,XGBoost,320,6,0.2781316348195329,0.09506118318105514,0.0,0.0,0.0,0.018423136323690414,0.02422475736229899,0.0,0.0,,
BAB_EL_MANDEB,XGBoost,320,6,0.589171974522293,0.10087404214559388,0.0,0.0,0.0,0.018165340647101402,0.025411697639356134,0.0,0.0,,
SUEZ,XGBoost,320,5,0.8507936507936508,0.24715928744379112,0.25,0.3333333333333333,0.2,0.018399899825453758,0.04763948037525552,0.0,0.015873015873015872,,
RED_SEA,N/A,0,0,,,,,,,,,,,
